0,1
" FUN N CHEER (MALURI) LOT 37636, JALAN 6/37A, TAMAN BUKIT MALURI. 5 52100 KUALA LUMPUR Tel : 03-62612536 TAX INVOICE (GST ID No. : 001439154176) 05/01/2018 Cashier: CS01 11:44:44 S/P:MAL No:0200419363 Item/Desc. Qty Price Amt. KAIN BEBOLA(S)SHA BU SR 0412638 2 14.90 29.80 Total Qty 2 TOTAL EXCLGST 28.11 ADD : GST (ni) On 1.69 29.80 CASH 50.00 CHANGE 20.20 GST summary Amount RM Tax RM SR = 6% 28.11 1.69 0.00 0.00 GOODS SOLD ARE NOT RETURNABLE ! THANK YOU ! PLEASE COME AGAIN !","{'entities': [(145, 155, 'date'), (267, 272, 'total')]}"
" 3180404 slaff ref GHEE HIANG GH DISTRIBUTOR & MARKETING SDN BHD (1097826-H) 95, Beach Road, 10300 Penang. 10400 Penang. Tel: 04-262 0635 GST Reg. No. : 001315377152 TAX INVOICE Invoice No : 095_01/03124 Date : 13/04/2013 #1 2:26 PM Cashier : SOON WAH PRN ON : 13/04/2018 2:53 PM QTY ITEM RM Retail/Takeaway *** 2 TAU SAR PNEAH (S) 24PCS @12.50 25.00 SR 2 SubTotal 25.00 Net Total 25. J C 50.00 C. GE 25.00 * *3/0 018 2:53 PM *** Tax Summary AmC in Tax SR:Inclusive of GST @6% 23.58 1.42 THANK YOU, PLEASE COME AGAIN Goo ds Cold Are Non Refundable","{'entities': [(19, 64, 'company'), (261, 271, 'date'), (345, 350, 'total')]}"
" GARDENIA BAKERIES (KI ) SDN BHD (139386 X) Lot 3, Jalan Pelabur 23/1, 40300 Shah Alam, Selangor Tel: 03 55423228 Fax:03 55423213 GST ID: 000381399040 TAX INVOICE / ADJUSTMENT NOTE Cash Inv No.: 7721F711 VE0514 Date: 21/07/2017 MAKASSAR FRESH MARKET SDN BHD GROUND FLOOR, NO 4 & 6, JALAN SS 15/48, 47500 SUBANG JAYA, SELANGOR VE05: Azlan(3737) DD: 21/07/2017 11:10 Description U.P Iss Exc D Sale Amr(RM) 0.C WHITE .13 10 8 0 2 4.26 WHOLEMEAL 2.78 2 4 0 -2 2 5.56 0.0 JUMBO 2.97 10 7 a 3 8.91 Total 0% supplies: 7.61 CR-CHOCE Y 0.72 20 0 0 20 14.40 KAYA-ORI 2.40 4 0 0 4 .60 Total 6% supplies (excl. GST): 24.00 GST: 1.44 Total 6% supplies (Inc. GST): 25.44 Total 0% supplies: 7.61 Total Payable: 33.05 E.&.0.E Received above goods in good order condition. The reciptent of Gardenta's products 15 required to make necessary adjustments to its input tax claims, on the basic of the adjustments shown in this Tax Invotce Adjustment Note CUSTOMER'S COP\","{'entities': [(217, 227, 'date'), (696, 701, 'total')]}"
" 31803053 GOLDEN KEY MAKER (000760274-K) No 5, Jalan Kenari 2, Bandar Puchong Jaya, 47100 Puchong, Selangor TEL: 03-58919941 FAX: 03-58919941 E-Mail: goldenkeymaker@gmail.co Website: www.goldenkeymaker.com S/P : HOE Inv No : CS-0014134 24 Mar-2018 03:44:22 PM INVOICE No.Desc/Code Qty Price Disc% Amount 1 NORMAL KEY 33100 4 4.00 0.00 16.00 2 NORMAL KEY LONG 33101 1 5.00 0.00 5.00 Total Qty : 5 Sub-Total : 21.00 Discount : 0.00 Net Total : 21.00 Cash Received : 50.00 Change : 29.00 GOODS SOLD ARE NOT RETURNABLE/REFUNDABLE","{'entities': [(10, 26, 'company'), (408, 413, 'total')]}"
" SAM SAM TRADING CO (742016-W) 67,JLN MEWAH 25/63 TMN SRI MUDA, 40400 SHAH ALAM. TEL/FAX : 03-51213881 GST NO: 001006288896 TAX INVOICE HE EDG UNICORN TWIN SUPER GLUE USG-99- 9557368063013 1 X 5.20 5.20 S SS EZL A4 CYBER MIX COLOR PAPER 100'S8 22n2008 1 X 8.90 8.90 S No. Qtys: 2 No. Items: 2 TAX AMT (S) 6% RM 13.30 GST 6% RM 0.80 TAX AMT (Z) 0% RM 0.00 GST 0% RM 0.00 TAX AMT (E) 6% RM 0.00 EXC GST 6% RM 0.00 TOTAL RM 14.10 CASH RM 20.00 CHANGE RM 5.90 THANK YOU FOR SHOPPING GOODS SOLD ARE NOT RETURNABLE. Fridmy, 29-12-2017 Time : 20:17 Cas. r : SAM SAM Wc5 SWH 01 Inv:R000721136","{'entities': [(1, 19, 'company'), (518, 528, 'date'), (31, 80, 'address'), (421, 426, 'total')]}"
" MRT aperatad bu rapidKL TAX INVOICE RAPID RAIL SLI BHD No. 1 JALAN PJU 1A/46, OFF JALAN LAPANGAN TERBANG SUBANG PETALING JAYA SELANGOR 47301 GST Reg. No : 001345261568 OTP Sale receipt TSC : 22MG00SUBS 11002 Agent ID : 114500 SHIFT ID : 38599 Transaction : 89 Date : 18/06/2018 08:18.00 Description Quantity Amount Tax (RM) code Media nb 3097352783 Balance before RM 1.90 Balance after RM 31.40 TNG Reload RM 30 1 RM 29 .50 ES Reload Fee 1 RM 0.50 SR Total RM 30.00 Rounding RM 0.00 Including GST RM 0.00 GST Summary Amount GST SR=GST 0.00% RM 0.50 RM 0.00 ES=GST 0.00% RM 29.50 RM 0.00 Payment mode Amount Cash RM 30.00 Please retain receipt for reference JK Date printed 18/06/2018 08:18:01","{'entities': [(268, 278, 'date'), (458, 466, 'total')]}"
" TONYMOLY VIVA CITY (TONYMOLY SHOP (95874)) UNIT L1-044B, VIVACITY MEGAMALL, JALAN WAN ALWI, 93350 KUCHING, SARAWAK. GST ID : 000349356032 Tax Invoice TERMINAL : 880 SALES NO. : 8807947 SALES DATE : 29/03/2018 20:19:38 LASHIER : Then Fiona CLIENT : CASH POINT EARNED : 0 PURE ECO SNAIL MOISTURE GEL 300 [SR] BD06000800 1 * 39.90 39.90 Item Count 1 Total Sales Incl. GST 39.90 Rounding Adjustment 0.00 Total After Rounding 39.90 VISA 39.90 Card No 46 XXXXXXXX 1819 App. Code a0000000031010 46 xxxxxxxx 1819 ----- GS summary Amount(RM) Tax (RM) SR = 6% 37.64 2.26 Printed on: 29-03-2018 20:19:59","{'entities': [(1, 19, 'company'), (199, 209, 'date'), (44, 116, 'address'), (323, 328, 'total')]}"
" ONE ONE THREE SEAFOOD RESTAURANT SDN BHD (1120908-M) NO.1 TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR. (GST Reg. No : 000670224384) Tax Invoice Table 31 bill#:V001-539327 Order#: 139430 Date : 30-05-2018 13:45:46 Cashier: 113 CASHIER Pax s): 0 Qty Description Total TAX 1 D 15.00 SR Chicken Item D 46.00 SR Fish Item 1 D 12.00 SR Vege item 1 D 4.50 SR White Rice D 5.00 SR Beverage Total (Excluding GST) 82.50 GST Payable: 4.95 Total (Inclusive of GST): 87.45 TOTAL: 87.45 Closed: 1 30-05-2013 14:39:47 Server: 113 CASHIER CASH : 87.45 GST Summary Amount (RM) Tax(RM) SR (it 6%) 82.50 4.95 **** Than You **** Please Come Again","{'entities': [(1, 41, 'company'), (209, 219, 'date'), (470, 475, 'total')]}"
" Absas UNIHAKKA INTERNATIONAL SDN BHD 13 May 2018 18:26 (867388-U) 12, Jalan Tampoi 7/4,Kawasan Perindustrian Tampoi, 81200 Johor Bahru,Johor TAX INVOICE Invoice # OR18051302170332 Item Qty Total SR 100100000037. 1 Fish + 3 Vege $8.10 1 $8.10 SR 100100000064-Ad Vegetable $0.60 1 $0.60 Total Amount: $8.70 GST @6%: $0.49 Nett Total: $8.70 Payment Mode Amount CASH $8.70 Change $0.00 GST Summary Amount($) Tax($) SR = GST @6% 8.21 0.49 GST REG #000656195584 BAR WANG NICE@PERMAS JAYA (Price Inclusive Of GST) Thank You & Come Again! Like and Follow Us on Facebook! Facebook.com/BarWangRice","{'entities': [(7, 37, 'company')]}"
" ENW Hardware Centre (M) Sdn. Bhd. Co. Reg. No. : 795225-A GST Reg. No. : 000155453440 No: G3, Blk G, JIn PJU 1A/3, Ara Damansara, 47301 Petaling Jaya, Selangor Darul Ehsan. TEL: 03-7832 6929 , 012-659 9829 10/03/2018 Tax Invoice No CS00230322 Cash Sale (Ara D'sara) Tel: 03-7832 6929 H/P: 012-659 9829 Item Qty J.Price RM 001533 1.00 19.00 19.00 SR 2kgs. Wood Lacquer Thinner 000920 1.00 10.00 10.00 SR 1.5kg. Ufixx Putty Filler 006828 2.00 2.50 5.00 SR 100# X 8"" X 45m Sand Paper Roll. Total Amt Incl. GST @ 6 % : 34.00 Rounding Adjusment : 0.00 Total Amt Payable : 34.00 Total Qty Tender : 4 GST Summary Amount (RM) GST (RM) SR = 6 % 32.07 1.93 POINT : 0.00 *Goods sold are not returnable Thank you for shopping at ENW Hardware Centre (M) Sdn. Bhd. pain is","{'entities': [(207, 217, 'date'), (516, 521, 'total')]}"
" A63030 UNIHAKKA INTERNATIONAL SDN BHD 10 Mar 2018 18:24 (867388-U) 12, Jalan Tampai 7/4 Kawasan Perindustrian Tampoi, 81200 Johor Bahru,Johor TAX INVOICE Invoice # : OR18031002160274 Item Qty Total SR 100100000035- f Meat + 3 Vege $7.10 1 $7.10 SR 100100000015- Vegetable $1.10 1 $1.10 Total Amount: $8.20 GST @6% $0.46 Nett Total: $8.20 Payment Mode Amount CASH $8.20 Change $0.00 GST Summary Amount($) Tax($) SR = GST @:a% 7 74 0.46 GST REG #000656195584 BAR WANG RICE@PERMAS JAYA (Price Inclusive or GST) Thank You & Come Again! Like and Follow Us on Facebook! Facebook.com/BarWangRice","{'entities': [(8, 38, 'company'), (0, 0, 'total')]}"
" STATIONERY SHOP NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM Mobile /Whatsapps : +6012-918 793 Tel: +603-3362 41 4137 GST ID No: 001531760640 TAX INVOICE Owned By: SANYU SUPPLY SDN BHD (1135772-K) CASH SALES COUNTER 1. 2008-0040 PRO ADHESIVE LABEL (WHITE) 2585 1 X 2.2000 - 2.20 SR 2. 2012-0029 RESTAURANT ORDER CHIT NCR 3.5""x6"" 3 X 2.9000 - 8.70 SR 3. 7002-0014 SONOFAX - EC THERMAL ROLL (BLUE) - (57MMx60MMx12MM) (10ROLL/PKT) 1 X 36.0000 36.00 SR Total Sales Inclusive GST @6% 46.90 Discount 0.00 Total 46.90 Round Adj 0.00 Final Total 46.90 CASH 100.00 CHANGE 53.10 GST Summary Amount(RM Tax(RM) SR @ 6% 44.25 2.65 INV NO: CS-SA-0133215 Date : 28/12/2017 Total Qty: 5 Print Time : Thursday, 28 December, 2017 5:26:39 PM Goods sold are not Returnable & Refundable THANK YOU FOR YOUR PATRONAGE PLEASE COME AGAIN. TERIMA KASIH SILA DATANG LAGI PLEASE KEEP THIS RECEIPT FOR PROVE OF PURCHASE DATE FOR I.T PRODUCT WARRANTY PURPOSE ** Follow us in Facebook nyu.Stationery","{'entities': [(660, 670, 'date'), (17, 73, 'address'), (492, 497, 'total')]}"
" UNIHAKKA INTERNATIONAL SDN BHD 27 May 2018 18:25 (867388-U) 12, Jalan Tampoi 7/4,Kawasan Perindustrian Tampoi,81200 Johor Bahru,Johor TAX INVOICE Invoice # OR18052702160246 Item Qty Total SR 100100000053- Herbal Tea (Iced) $2.00 1 $2.00 SR 100100000035- 1 Meat + 3 Vege $7.10 1 $7.10 SR 100100000170- Imported Veggies $1.60 1 $1.60 Total Amount: $10.70 GST @6%: $0.61 Nett Total: $10.70 Payment Mode Amount CASH $10.70 Change $0.00 GST Summary Amount($) Tax($) SR = GST @6% 10.09 0.61 GST REG #000656195584 BAR WANG RICE@PERMAS JAYA (Price Inclusive Of GST) Thank You & Come Again! Like and Follow Us on Facebook! Facebook.com/BarWangRice","{'entities': [(1, 31, 'company')]}"
" SANYU USTATIONERYS SHOP NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM Mobile /Whatsapps : +6012-918 7937 Tel: +603-3362 4137 GST ID No: 001531760640 TAX INVOICE Owned By: SANYU SUPPLY SDN BHD (1135772-K) CASH SALES COUNTER 1. 2012-0029 RESTAURANT ORDER CHIT NCR 3.5""x6"" 3 X 2.9000 8.70 SR Total Sales Inclusive GST @6% 8.70 Discount 0.00 Total 8.70 Round Adj 0.00 Final Total 8.70 CASH 10.00 CHANGE .1.30 GST Summary Amount(RM) Tax(RM) SR @ 6% 8.21 0.49 .INV NO: CS-SA-0096677 Date : 15/07/2017 Goods sold are not Returnable & Refundable THANK YOU FOR YOUR PATRONAGE PLEASE COME AGAIN. TERIMA KASIH SILA DATANG LAGI PLEASE KEEP THIS RECEIPT FOR PROVE OF PURCHASE DATE FOR I.T PRODUCT WARRANTY PURPOSE ** Follow us in Facebook: Sanyu.Stationery","{'entities': [(496, 506, 'date'), (25, 81, 'address'), (293, 297, 'total')]}"
" Thank You, Please come again. Goods Sold Are Note Returnable. For feedback or coaplaint, please call: 011-3194 0284 *REDEEM VOUCHER BEFORE POINTS EXPIRY!* Segi Cash & Carry Sdn.Bhd (317041-W) PT17920, SEKSYEN 09, 40150 SHAH ALAM, SELANGOR DARUL EHSAN. GST Reg. No. : 001951645696 Invoice No : 45691 Date : 05 Jan 2017 12:41pm Counter : 07 BUDIGET TOILET ROLL 20'S 1 X 12.61 12.61 S No of items; 1 Subtotal Incl. GST:RM 12.61 Rounding:Ri -0.01 Total Incl. GST:RH 12.60 Cash:RM 50.00 Change :RM 37.40 Missed Point Today: 11 Served by WINDA FRISKANA MAYESI GST Summary ************* GST Code Amount (RM) Tax(RM) S @6.0% 11.90 0.71 ** 00600716214045691 ** Thank You. Please come again. Goods Sold Are Not Returnable. For feedback or complaint, please call: 011-3194 0284 *REDEEM VOUCHER BEFORE POINTS EXPIRY!*","{'entities': [(463, 468, 'total')]}"
" TAX INVOICE DOMINO'S PIZZA GST REF NO : 001694261248 DOMINO'S PIZZA PERMAS JAYA No.12, Jalan Permas Jaya 10, Bandar Baru Permas Jaya, 81750 Masai Johor CARRY OUT NOW Pay By: CASH Order : 7163 By :5533 Order Time : 17:57:32 Date 27/04/18 Name: MS LEE Pickup Time: 18:12:32 Qty Menu Desc Coupon Diso Price 1 6""HT (KB) P50C-PSI 15.60 8.40 15.60 Total Items Sub-Total 15.60 Coupon Discount 8.40 Grand Total 7.20 Payment 10.00 Change Due 02.80 *6% GST Included 0.41 SUPPORT OUR SMILE CAMPAIGN : ) Did we smile at you? Let us know at www.dominos.com.my/smile and recaive a 30% off side item e-coupon upon survey submission Survey Code: CED271560716357 Thank you for visiting Domino's Please Come Again! 1 - 3 0 0 - 8 8 8 - 3 3 3 www.dominos.com.m We are compliant to the PDPA 2010. Visit it www.dominos.com.my/terms .dominos .my/terms to view our Personal Data Protection Policy, owned by Dommal Food Services Sdn Bhd Co. No. 419060-A 1","{'entities': [(13, 27, 'company'), (229, 237, 'date'), (404, 408, 'total')]}"
" 3/803001 POPULAR BOOK CO. (M) SDN BHD (Co. No. 113825-W) (GST Reg No. 001492992000) No 8. Jalan 7/118B, Desa Tun Razak 56000 Kuala Lumpur, Malaysia IOI MALL Tel : 03-80709188 / 80757830 01/03/18 12:36 Slip No. : 9070058756 SITI Trans: 21396 Descr ription Amount W/ENV4. 5*9.5 1.90 T Uni P&S Env 4. .5X9. 75 2.10 T Total RM Incl. of GST 4.00 Cash -10.00 CHANGE 6.00 ltem Count 2 GST Summary Amount (RM) Tax (RM) T @ 6% 3.77 0.23 Total Savings 0.00 BE A POPULAR CARD MEMBER AND ENJOY SPECIAL DISCOUNTS THANK YOU. PLEASE COME AGAIN. WWW. popular. com. my Buy Chinese books online www.popularonline.com.my","{'entities': [(187, 195, 'date'), (337, 341, 'total')]}"
" 3-1708032 KHE ELECTRICAL TRADING (001465242-V) 33-G JALAN MAJU 3/1 TAMAN LEMBAH MAJU CHERAS, 56100 KL TEL:03-4296 0133 FAX: FAX:03-4296 8869 KHE33G@HOTMAIL.COM GST ID 000143474688 TAX INVOICE Bill To: CASH Doc No. : CS00058953 Date: 22/03/2018 Cashier : USER Time 10:18:00 Salesperson : 002 Ref.: (GST) (GST) Item Qty S/Price S/Price Amount Tax 1113 2 48.00 50.88 101.76 SR 105W E27 PLCE TUBE Total Qty: 2 101.76 Total Sales (Excluding GST) : 96.00 Discount : 0.00 Total GST : 5.76 Rounding : -0.01 Total Sales (Inclusive of GST) : 101.75 CASH : 101.75 Change : 0.00 GST SUMMARY Tax Code % Arnt (RM) Tax (RM) SR 6 96.00 5.76 Total : 96.00 5.76 GOODS SOLD ARE NOT RETURNABLE, THANK YOU.","{'entities': [(11, 33, 'company'), (234, 244, 'date'), (48, 102, 'address'), (533, 539, 'total')]}"
" TAX INVOICE DOMINO'S PIZZA GST REF NO : 001694261248 DOMINO'S PIZZA TAMAN UNIVERSITI 30, Jln Kebudayaan 7, 'Tmn Universiti 81300 Skudai, Johor CARRY OUT NOW Pay By: CASH Order : 8557 By : 5586 Order Time : 13:19:29 Date :28/04/18 Name: MS NIWA Pickup Time: 13:34:29 Qty Menu Desc Coupon Disc Price 1 PLSB-R 0.20 1 RCD AOA4-ADI 14.50 1 PEP (CAN) LVDR-RGH 3.50 1 PEP (CAN) LVDR-RGH 3.50 1 T/B LVDR-RGH 7.50 1 9""HT (AC) LVDR-RGH 27.80 17.40 57.00 Total Items Sub-Total : 57.00 Coupon Discount : 17.40 Grand Total : 39.60 Payment : 40.00 Change Due 00.40 *6% GST Included 2.24 SUPPORT OUR SMILE CAMPAIGN : ) Did we smile at you? Let us know at www.dominos.com.my/smile and receive a 30% off side item e-coupon upon survey submission Survey Code: CBD280740855719 Thank you for visiting Domino's Please Come Again! 1 - 3 0 0 - 8 8 8 - 3 3 3 www.dominos.com.my We are compliant to the PDPA 2010. Visit www.dominos.com.my/texms to view our Personal Data Protection Polfcy, owned by Dommal Food Services sdn Bhd Co. No. 41906r-A 1","{'entities': [(13, 27, 'company'), (222, 230, 'date'), (513, 518, 'total')]}"
